order,did_id,did,did_name,delay_ms
1,DID0002,0002,DID_02,0
2,DID0003,0003,DID_03,0
3,DID00a1,00A1,DID_A1,0
4,DID00a2,00A2,DID_A2,0
5,DID00a3,00A3,DID_A3,0
6,DID00a4,00A4,DID_A4,0
7,DID00a5,00A5,DID_A5,0
8,DID00a6,00A6,DID_A6,0
9,DID00a8,00A8,DID_A8,0
10,DID0090,0090,DID_90,0
11,DID00a7,00A7,DID_A7,0
12,DID009c,009C,DID_9C,0
13,DID009d,009D,DID_9D,0
14,DID00a0,00A0,DID_A0,0
